record_type,scenario_name,group_hierarchy,request_name,status,start_timestamp,end_timestamp,response_time_ms,error_message,event_type,duration_ms,cumulated_response_time_ms,is_incoming
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864784082,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864784083,,,,start,,,
request,,,events,OK,1750864784083,1750864784424,341,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864784425,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864784425,,,,start,,,
request,,,events,OK,1750864784426,1750864784737,311,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864784737,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864784738,,,,start,,,
request,,,events,OK,1750864784738,1750864785088,350,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864785088,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864785089,,,,start,,,
request,,,events,OK,1750864785089,1750864785463,374,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864785463,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864785463,,,,start,,,
request,,,events,OK,1750864785464,1750864785785,321,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864785786,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864785786,,,,start,,,
request,,,events,OK,1750864785787,1750864786137,350,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864786138,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864786138,,,,start,,,
request,,,events,OK,1750864786139,1750864786456,317,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864786457,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864786457,,,,start,,,
request,,,events,OK,1750864786457,1750864786785,328,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864786785,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864786786,,,,start,,,
request,,,events,OK,1750864786786,1750864787115,329,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864787116,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864787116,,,,start,,,
request,,,events,OK,1750864787117,1750864787469,352,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864787469,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864787469,,,,start,,,
request,,,events,OK,1750864787470,1750864787811,341,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864787811,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864787811,,,,start,,,
request,,,events,OK,1750864787812,1750864788138,326,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864788139,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864788139,,,,start,,,
request,,,events,OK,1750864788139,1750864788481,342,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864788481,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864788482,,,,start,,,
request,,,events,OK,1750864788482,1750864788818,336,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864788819,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864788819,,,,start,,,
request,,,events,OK,1750864788819,1750864789189,370,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864789190,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864789190,,,,start,,,
request,,,events,OK,1750864789190,1750864789555,365,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864789555,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864789556,,,,start,,,
request,,,events,OK,1750864789556,1750864789889,333,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864789890,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864789890,,,,start,,,
request,,,events,OK,1750864789890,1750864790203,313,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864790204,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864790204,,,,start,,,
request,,,events,OK,1750864790204,1750864790576,372,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864790576,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864790576,,,,start,,,
request,,,events,OK,1750864790577,1750864790899,322,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864790900,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864790900,,,,start,,,
request,,,events,OK,1750864790900,1750864791232,332,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864791232,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864791232,,,,start,,,
request,,,events,OK,1750864791232,1750864791563,331,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864791564,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864791564,,,,start,,,
request,,,events,OK,1750864791564,1750864791894,330,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864791895,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864791895,,,,start,,,
request,,,events,OK,1750864791895,1750864792221,326,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864792222,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864792222,,,,start,,,
request,,,events,OK,1750864792222,1750864792561,339,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864792562,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864792562,,,,start,,,
request,,,events,OK,1750864792562,1750864792892,330,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864792892,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864792893,,,,start,,,
request,,,events,OK,1750864792893,1750864793222,329,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864793222,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864793223,,,,start,,,
request,,,events,OK,1750864793223,1750864793572,349,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864793573,,,,end,,,
